"Step","[No Pretraining]SafeLTAPPO-JSQDiscreteActor_N2S3_TRAIN_20230726-130159 - rollout_summary/mean_backlog","[No Pretraining]SafeLTAPPO-JSQDiscreteActor_N2S3_TRAIN_20230726-130159 - rollout_summary/mean_backlog__MIN","[No Pretraining]SafeLTAPPO-JSQDiscreteActor_N2S3_TRAIN_20230726-130159 - rollout_summary/mean_backlog__MAX"
"155946","1.994140625","1.994140625","1.994140625"
"156499","1.767578125","1.767578125","1.767578125"
"157052","1.87890625","1.87890625","1.87890625"
"157605","2.11328125","2.11328125","2.11328125"
"158158","1.99609375","1.99609375","1.99609375"
"158711","1.95703125","1.95703125","1.95703125"
"159264","1.94921875","1.94921875","1.94921875"
"159817","1.978515625","1.978515625","1.978515625"
"160370","2.06640625","2.06640625","2.06640625"
"160923","2.072265625","2.072265625","2.072265625"
"161476","2.248046875","2.248046875","2.248046875"
"162029","2.048828125","2.048828125","2.048828125"
"162582","2.1015625","2.1015625","2.1015625"
"163135","2.115234375","2.115234375","2.115234375"
"163688","1.8984375","1.8984375","1.8984375"
"164241","1.77734375","1.77734375","1.77734375"
"164794","1.8125","1.8125","1.8125"
"165347","1.892578125","1.892578125","1.892578125"
"165900","1.775390625","1.775390625","1.775390625"
"166453","2.015625","2.015625","2.015625"
"167006","1.98046875","1.98046875","1.98046875"
"167559","1.919921875","1.919921875","1.919921875"
"168112","1.888671875","1.888671875","1.888671875"
"168665","1.921875","1.921875","1.921875"
"169218","1.919921875","1.919921875","1.919921875"
"169771","1.732421875","1.732421875","1.732421875"
"170324","1.873046875","1.873046875","1.873046875"
"170877","1.98828125","1.98828125","1.98828125"
"171430","1.9765625","1.9765625","1.9765625"
"171983","2.01171875","2.01171875","2.01171875"
"172536","2.021484375","2.021484375","2.021484375"
"173089","2.064453125","2.064453125","2.064453125"
"173642","1.9765625","1.9765625","1.9765625"
"174195","1.806640625","1.806640625","1.806640625"
"174748","2.0078125","2.0078125","2.0078125"
"175301","1.9765625","1.9765625","1.9765625"
"175854","1.806640625","1.806640625","1.806640625"
"176407","1.951171875","1.951171875","1.951171875"
"176960","1.84375","1.84375","1.84375"
"177513","1.90625","1.90625","1.90625"
"178066","2.08203125","2.08203125","2.08203125"
"178619","1.888671875","1.888671875","1.888671875"
"179172","2.0234375","2.0234375","2.0234375"
"179725","1.76171875","1.76171875","1.76171875"
"180278","1.9140625","1.9140625","1.9140625"
"180831","1.853515625","1.853515625","1.853515625"
"181384","1.84765625","1.84765625","1.84765625"
"181937","1.91015625","1.91015625","1.91015625"
"182490","1.865234375","1.865234375","1.865234375"
